caso,t,sigma,criterio,ciclo,r_k,r_prev,q_k
cero γ≈1000,1001.3494,0.5,angular,1,0.074791,0.093812,0.797242
cero γ≈1000,1001.3494,0.5,angular,2,0.065155,0.074791,0.871165
cero γ≈1000,1001.3494,0.5,angular,3,0.058800,0.065155,0.902459
cero γ≈1000,1001.3494,0.5,angular,4,0.053793,0.058800,0.914852
cero γ≈1000,1001.3494,0.5,angular,5,0.050255,0.053793,0.934223
cero γ≈1000,1001.3494,0.5,angular,6,0.047548,0.050255,0.946141
cero γ≈1000,1001.3494,0.5,angular,7,0.045462,0.047548,0.956131
cero γ≈1000,1001.3494,0.5,angular,8,0.043887,0.045462,0.965342
cero γ≈1000,1001.3494,0.5,angular,9,0.042089,0.043887,0.959044
cero γ≈1000,1001.3494,0.5,angular,10,0.040941,0.042089,0.972726
cero γ≈1000,1001.3494,0.5,angular,11,0.039641,0.040941,0.968244
cero γ≈1000,1001.3494,0.5,angular,12,0.038644,0.039641,0.974860
cero γ≈1000,1001.3494,0.5,angular,13,0.037775,0.038644,0.977496
cero γ≈1000,1001.3494,0.5,angular,14,0.036991,0.037775,0.979249
cero γ≈1000,1001.3494,0.5,angular,15,0.036259,0.036991,0.980225
cero γ≈1000,1001.3494,0.5,angular,16,0.035550,0.036259,0.980437
cero γ≈1000,1001.3494,0.5,angular,17,0.034842,0.035550,0.980072
cero γ≈1000,1001.3494,0.5,angular,18,0.034473,0.034842,0.989409
cero γ≈1000,1001.3494,0.5,angular,19,0.034105,0.034473,0.989346
cero γ≈1000,1001.3494,0.5,angular,20,0.033378,0.034105,0.978671
cero γ≈1000,1001.3494,0.5,angular,21,0.033181,0.033378,0.994099
cero γ≈1000,1001.3494,0.5,angular,22,0.032726,0.033181,0.986286
cero γ≈1000,1001.3494,0.5,angular,23,0.032311,0.032726,0.987329
cero γ≈1000,1001.3494,0.5,angular,24,0.032061,0.032311,0.992248
cero γ≈1000,1001.3494,0.5,angular,25,0.031736,0.032061,0.989868
cero γ≈1000,1001.3494,0.5,angular,26,0.031317,0.031736,0.986802
cero γ≈1000,1001.3494,0.5,angular,27,0.031372,0.031317,1.001768
cero γ≈1000,1001.3494,0.5,angular,28,0.030735,0.031372,0.979682
cero γ≈1000,1001.3494,0.5,angular,29,0.030692,0.030735,0.998605
cero γ≈1000,1001.3494,0.5,angular,30,0.030608,0.030692,0.997259
cero γ≈1000,1001.3494,0.5,angular,31,0.030132,0.030608,0.984465
cero γ≈1000,1001.3494,0.5,angular,32,0.029807,0.030132,0.989211
cero γ≈1000,1001.3494,0.5,angular,33,0.030056,0.029807,1.008350
cero γ≈1000,1001.3494,0.5,angular,34,0.029780,0.030056,0.990795
cero γ≈1000,1001.3494,0.5,angular,35,0.029465,0.029780,0.989426
cero γ≈1000,1001.3494,0.5,angular,36,0.029227,0.029465,0.991932
cero γ≈1000,1001.3494,0.5,angular,37,0.029062,0.029227,0.994344
cero γ≈1000,1001.3494,0.5,angular,38,0.029143,0.029062,1.002802
cero γ≈1000,1001.3494,0.5,angular,39,0.029060,0.029143,0.997165
cero γ≈1000,1001.3494,0.5,angular,40,0.028874,0.029060,0.993581
cero γ≈1000,1001.3494,0.5,angular,41,0.028701,0.028874,0.994025
cero γ≈1000,1001.3494,0.5,angular,42,0.028551,0.028701,0.994766
cero γ≈1000,1001.3494,0.5,angular,43,0.028423,0.028551,0.995518
cero γ≈1000,1001.3494,0.5,angular,44,0.028313,0.028423,0.996138
cero γ≈1000,1001.3494,0.5,angular,45,0.028217,0.028313,0.996587
cero γ≈1000,1001.3494,0.5,angular,46,0.026754,0.028217,0.948153
cero γ≈1000,1001.3494,0.5,angular,47,0.027529,0.026754,1.028964
cero γ≈1000,1001.3494,0.5,angular,48,0.027463,0.027529,0.997615
cero γ≈1000,1001.3494,0.5,angular,49,0.027504,0.027463,1.001489
cero γ≈1000,1001.3494,0.5,angular,50,0.027602,0.027504,1.003576
cero γ≈1000,1001.3494,0.5,angular,51,0.027684,0.027602,1.002960
cero γ≈1000,1001.3494,0.5,angular,52,0.027709,0.027684,1.000906
cero γ≈1000,1001.3494,0.5,angular,53,0.027675,0.027709,0.998777
cero γ≈1000,1001.3494,0.5,angular,54,0.027746,0.027675,1.002563
cero γ≈1000,1001.3494,0.5,angular,55,0.027810,0.027746,1.002312
cero γ≈1000,1001.3494,0.5,angular,56,0.027868,0.027810,1.002077
cero γ≈1000,1001.3494,0.5,angular,57,0.027921,0.027868,1.001893
cero γ≈1000,1001.3494,0.5,angular,58,0.027970,0.027921,1.001768
cero γ≈1000,1001.3494,0.5,angular,59,0.028018,0.027970,1.001701
cero γ≈1000,1001.3494,0.5,angular,60,0.028065,0.028018,1.001688
cero γ≈1000,1001.3494,0.5,angular,61,0.028114,0.028065,1.001728
cero γ≈1000,1001.3494,0.5,angular,62,0.028165,0.028114,1.001819
cero γ≈1000,1001.3494,0.5,angular,63,0.028220,0.028165,1.001964
cero γ≈1000,1001.3494,0.5,angular,64,0.028281,0.028220,1.002158
cero γ≈1000,1001.3494,0.5,angular,65,0.028348,0.028281,1.002388
cero γ≈1000,1001.3494,0.5,angular,66,0.028421,0.028348,1.002563
cero γ≈1000,1001.3494,0.5,angular,67,0.028381,0.028421,0.998589
cero γ≈1000,1001.3494,0.5,angular,68,0.028457,0.028381,1.002663
cero γ≈1000,1001.3494,0.5,angular,69,0.028548,0.028457,1.003210
cero γ≈1000,1001.3494,0.5,angular,70,0.028653,0.028548,1.003674
cero γ≈1000,1001.3494,0.5,angular,71,0.028619,0.028653,0.998817
cero γ≈1000,1001.3494,0.5,angular,72,0.028689,0.028619,1.002434
cero γ≈1000,1001.3494,0.5,angular,73,0.028827,0.028689,1.004816
cero γ≈1000,1001.3494,0.5,angular,74,0.028786,0.028827,0.998575
cero γ≈1000,1001.3494,0.5,angular,75,0.028888,0.028786,1.003545
cero γ≈1000,1001.3494,0.5,angular,76,0.028965,0.028888,1.002666
cero γ≈1000,1001.3494,0.5,angular,77,0.028969,0.028965,1.000148
cero γ≈1000,1001.3494,0.5,angular,78,0.029101,0.028969,1.004563
cero γ≈1000,1001.3494,0.5,angular,79,0.029083,0.029101,0.999370
cero γ≈1000,1001.3494,0.5,angular,80,0.029207,0.029083,1.004263
cero γ≈1000,1001.3494,0.5,angular,81,0.029240,0.029207,1.001149
cero γ≈1000,1001.3494,0.5,angular,82,0.029292,0.029240,1.001761
cero γ≈1000,1001.3494,0.5,angular,83,0.029432,0.029292,1.004772
cero γ≈1000,1001.3494,0.5,angular,84,0.029375,0.029432,0.998058
cero γ≈1000,1001.3494,0.5,angular,85,0.029493,0.029375,1.004019
cero γ≈1000,1001.3494,0.5,angular,86,0.029602,0.029493,1.003703
cero γ≈1000,1001.3494,0.5,angular,87,0.029623,0.029602,1.000716
cero γ≈1000,1001.3494,0.5,angular,88,0.029661,0.029623,1.001271
